symbol,updated,updated_time
MCX,True,2019-09-26 14:55
MM,True,2019-10-11 14:45
NBCC,True,2019-10-11 14:45
MRF,True,2019-10-11 14:40
NESTLEIND,True,2019-10-11 14:45
MOTHERSUMI,True,2019-10-11 14:45
NCC,True,2019-10-11 14:45
MUTHOOTFIN,True,2019-10-11 14:45
MMFIN,True,2019-10-11 14:45
NATIONALUM,True,2019-10-11 14:45
NTPC,True,2019-10-11 14:45
OIL,True,2019-10-11 14:45
NMDC,True,2019-10-11 14:45
PAGEIND,True,2019-10-11 14:45
PETRONET,True,2019-10-11 14:45
PFC,True,2019-10-11 14:45
PEL,True,2019-10-11 14:45
ONGC,True,2019-10-11 14:45
PIDILITIND,True,2019-10-11 14:45
RAMCOCEM,True,2019-10-11 08:45
PVR,True,2019-10-11 14:45
PNB,True,2019-10-11 14:45
RBLBANK,True,2019-10-11 14:45
RELCAPITAL,True,2019-09-26 14:55
RAYMOND,True,2019-09-26 14:55
RELIANCE,True,2019-10-11 14:45
POWERGRID,True,2019-10-11 14:45
RECLTD,True,2019-10-11 14:45
SIEMENS,True,2019-10-11 14:45
SHREECEM,True,2019-10-11 14:45
SBIN,True,2019-10-11 14:45
SRTRANSFIN,True,2019-10-11 14:45
SRF,True,2019-10-11 14:45
RELINFRA,True,2019-09-26 14:55
STAR,True,2019-10-11 14:45
SAIL,True,2019-10-11 14:45
SUNTV,True,2019-10-11 14:45
SUNPHARMA,True,2019-10-11 14:45
TATAMTRDVR,True,2019-10-11 14:45
TATAELXSI,True,2019-10-11 14:45
TCS,True,2019-10-11 14:45
TATAPOWER,True,2019-10-11 14:45
TATAGLOBAL,True,2019-10-11 14:45
TATAMOTORS,True,2019-10-11 14:45
TATACHEM,True,2019-10-11 14:45
TECHM,True,2019-10-11 14:45
TATASTEEL,True,2019-10-11 14:45
TORNTPHARM,True,2019-10-11 14:45
UBL,True,2019-10-11 14:45
TITAN,True,2019-10-11 14:45
TVSMOTOR,True,2019-10-11 14:45
ULTRACEMCO,True,2019-10-11 14:45
UNIONBANK,True,2019-10-11 14:45
UJJIVAN,True,2019-10-11 14:45
TORNTPOWER,True,2019-10-11 14:45
UPL,True,2019-10-11 14:45
VEDL,True,2019-10-11 14:45
VOLTAS,True,2019-10-11 14:45
WIPRO,True,2019-10-11 14:45
ZEEL,True,2019-10-11 14:45
YESBANK,True,2019-10-11 14:45
